Date,Close, Volume, Open, High, Low
11/10/2017,149.16,4306433,150.65,150.89,149.14
11/9/2017,150.3,4776316,149.93,151.8,149.86
11/8/2017,151.57,4632718,151.6,151.7944,150.28
11/7/2017,151.35,3692491,151.37,151.51,150.5
11/6/2017,150.84,4498535,151.77,151.82,150.28
11/3/2017,151.58,4430810,153.42,153.47,151.49
11/2/2017,153.35,3396982,154.18,154.49,152.91
11/1/2017,154.03,3236863,154.1,154.9,153.83
10/31/2017,154.06,4260973,154.33,154.93,152.93
10/30/2017,154.36,4210002,153.76,154.59,152.71
10/27/2017,153.68,4895137,154.54,154.63,152.911
10/26/2017,153.6,4297634,154.31,155.12,153.54
10/25/2017,153.5,6917768,156.01,156.37,153.06
10/24/2017,155.88,8175300,159.65,159.7,155.171
10/23/2017,159.55,5778231,162.05,162.51,159.54
10/20/2017,162.07,7866470,161.07,162.48,159.77
10/19/2017,160.9,9910695,159.8,160.96,159.085
10/18/2017,159.53,30473410,157.12,161.23,156.95
10/17/2017,146.54,6178625,146.63,147.12,146.18
10/16/2017,146.83,3041919,147.22,147.67,146.51
10/13/2017,147.1,2505942,147.48,147.85,146.94
10/12/2017,147.03,3304653,147.56,147.89,146.77
10/11/2017,147.62,3701258,148.4,148.47,147.28
10/10/2017,148.5,4029617,147.71,148.95,147.65
10/9/2017,147.39,2682506,146.5,147.79,146.35
10/6/2017,146.48,2620902,146.64,146.85,146.32
10/5/2017,146.72,2686485,146.68,147.54,146.48
10/4/2017,146.48,2243214,147,147.02,146.11
10/3/2017,146.78,2302599,146.69,147.1999,146.34
10/2/2017,146.66,2973073,145.35,146.865,145.21
9/29/2017,145.08,2644598,145.45,145.69,144.92
9/28/2017,145.66,2774541,145.33,145.86,144.21
9/27/2017,145.66,3496366,146.68,146.9,145.03
9/26/2017,146.56,4107436,146.36,147.42,145.94
9/25/2017,145.87,5210283,145.12,146.03,144.91
9/22/2017,145.13,2792199,145.59,145.59,144.59
9/21/2017,145.26,2520055,145.65,145.8911,145.1
9/20/2017,145.88,5446399,144.93,145.88,144.42
9/19/2017,144.39,3464383,144.79,144.98,144.22
9/18/2017,144.55,3019313,144.81,145.4799,144.27
9/15/2017,144.82,7373777,144.82,145.17,144.08
9/14/2017,145.54,3754007,145.86,146.38,145.51
9/13/2017,145.99,4098201,145.35,146.29,145.34
9/12/2017,145.76,5239033,145.11,146.37,144.51
9/11/2017,144.86,4611086,143.54,145.13,143.01
9/8/2017,142.45,3362498,143.15,143.15,141.64
9/7/2017,142.9,4188154,144.1,144.64,142.41
9/6/2017,143.82,3267586,143.88,144.47,143.5
9/5/2017,143.04,3098684,143.5,144.3575,142.7
9/1/2017,144.08,3348757,142.98,144.5,142.98
8/31/2017,143.03,3650650,143.02,143.66,142.63
8/30/2017,142.56,2733727,143.26,143.28,142.41
8/29/2017,143.14,3008013,142.1,143.425,141.9
8/28/2017,142.51,5131244,144.11,144.56,142.39
8/25/2017,143.74,2871315,143.3,144.19,143.25
8/24/2017,142.94,3590994,142.5,143.68,142.25
8/23/2017,142.14,4048117,140.7,143.05,140.68
8/22/2017,141.01,2544345,140.64,141.15,140.38
8/21/2017,140.33,3188408,139.59,140.42,139.13
8/18/2017,139.7,4151484,140.87,141.15,139.58
8/17/2017,140.7,4357359,142.52,142.89,140.7
8/16/2017,142.5,3287450,141.79,142.91,141.61
8/15/2017,142.07,4681540,142.55,143.34,140.58
8/14/2017,142.32,2244010,142,142.76,141.94
8/11/2017,141.84,3004080,142.45,142.59,141.52
8/10/2017,141.84,4524754,141.64,142.42,141.23
8/9/2017,141.77,2925024,141.75,142.03,141.19
8/8/2017,142.11,3295007,142,142.76,142
8/7/2017,143.47,4615775,145,145.09,142.75
8/4/2017,145.16,2549397,145,145.39,144.4
8/3/2017,144.94,3034711,144.43,145.34,144.43
8/2/2017,144.45,3433707,145.12,145.29,144.22
8/1/2017,145.3,3201765,145,145.67,144.72
7/31/2017,144.67,4342497,144.38,144.93,144.17
7/28/2017,144.29,3054692,144.81,145.04,143.84
7/27/2017,145.07,6375899,145,145.395,143.64
7/26/2017,145.36,3928866,146.27,146.46,144.47
7/25/2017,146.19,4207232,146.57,147.49,146.03
7/24/2017,145.99,3877119,147,147.04,145.8
7/21/2017,147.08,6509258,147.59,147.87,146.51
7/20/2017,147.66,7175441,147.53,148.83,147.03
7/19/2017,147.53,14292020,150.02,150.25,146.71
7/18/2017,154,7435556,152.36,154.29,152
7/17/2017,153.01,4753260,153.59,153.88,152.2399
7/14/2017,154.24,3256144,154.01,154.615,153.4
7/13/2017,153.63,2476080,153.7,154.19,153.19
7/12/2017,153.7,3097831,153.48,154.24,153.05
7/11/2017,153.19,3447509,153.26,153.65,152.05
7/10/2017,153.42,3410665,152.91,153.89,152.63
7/7/2017,152.94,2383896,152.62,153.49,152.14
7/6/2017,152.36,2756760,153.36,153.83,152.23
7/5/2017,153.67,3561287,155.77,155.89,153.63
7/3/2017,155.58,2822651,153.58,156.025,153.52
6/30/2017,153.83,3571536,154.28,154.5,153.14
6/29/2017,154.13,3261684,155.35,155.74,153.62
6/28/2017,155.32,2214240,155.15,155.55,154.78
6/27/2017,154.75,2386491,155,155.34,154.5
6/26/2017,155.23,2152542,154.71,155.75,154.63
6/23/2017,154.11,3282201,154.34,154.68,153.8
6/22/2017,154.4,2376471,154.55,154.99,153.69
6/21/2017,153.79,3958819,155.79,155.79,153.39
6/20/2017,154.95,4479369,154.48,155.389,154.25
6/19/2017,154.84,4536193,155.51,155.86,154.54
6/16/2017,155.38,6373354,154.23,155.42,152.9676
6/15/2017,154.22,4651727,153.29,154.69,153.29
6/14/2017,153.81,3043704,153.97,154.9399,152.94
6/13/2017,154.25,3523529,155.44,155.48,154.15
6/12/2017,155.18,6461729,154.19,157.2,154.02
6/9/2017,154.1,4356544,152,154.265,151.88
6/8/2017,152.1,3693150,151,152.82,150.92
6/7/2017,150.98,4859095,153.05,154.2,150.8
6/6/2017,152.37,3797173,152,152.89,152
6/5/2017,152.41,3975068,151.82,152.93,151.6826
6/2/2017,152.05,3581773,153.07,153.2,151.8
6/1/2017,152.67,2918122,152.8,152.87,151.63
5/31/2017,152.63,3541249,152.03,152.8,151.65
5/30/2017,151.73,3665972,151.95,152.67,151.59
5/26/2017,152.49,2443298,152.85,153,152.06
5/25/2017,153.2,2581674,153.25,153.73,152.9459
5/24/2017,152.51,3732394,152.21,152.76,151.23
5/23/2017,152.03,2564503,152.57,153.68,151.92
5/22/2017,152.64,3302089,152.1,152.84,151.5992
5/19/2017,151.98,5622348,151.01,152.46,150.89
5/18/2017,150.78,3273575,150.86,151.33,150.11
5/17/2017,150.93,5189187,153.3,154.14,150.89
5/16/2017,153.68,5510363,151.66,153.99,151.66
5/15/2017,151.51,4228909,150.62,151.83,150.4502
5/12/2017,150.37,3715292,150.3,151.265,150
5/11/2017,150.65,5624852,151.05,151.15,149.79
5/10/2017,151.25,4996776,151.651,152.37,151.13
5/9/2017,152.11,6851286,152.6,153.1,151.5552
5/8/2017,153.03,7490980,152.8,153.47,152.2
5/5/2017,155.05,12513610,153.52,155.78,153
5/4/2017,159.05,4278599,158.89,159.14,158.36
5/3/2017,158.63,3993234,158.74,159.45,158.52
5/2/2017,159.1,3150934,159.44,159.49,158.64
5/1/2017,158.84,4931407,160.05,160.42,158.7
4/28/2017,160.29,4153700,160.5,160.59,159.7
4/27/2017,160.32,4122568,160.29,160.48,159.63
4/26/2017,160.06,4325281,160.53,161.1,159.89
4/25/2017,160.39,4857061,161.78,162.04,160.38
4/24/2017,160.75,5175505,161.29,161.57,160.42
4/21/2017,160.38,5600467,162.05,162.11,160.38
4/20/2017,162.3,6486767,161.32,162.4,160.5
4/19/2017,161.69,19282530,161.76,162.64,159.6
4/18/2017,170.05,6004750,170.79,171.69,169.83
4/17/2017,171.1,3719276,169.75,171.3,169.62
4/13/2017,169.53,3203765,169.92,171.36,169.53
4/12/2017,170.66,3276921,171.04,171.2,170.02
4/11/2017,170.58,4890161,170.65,171.23,168.98
4/10/2017,171.2,3789677,172.53,172.56,171
4/7/2017,172.14,3588300,172.08,172.93,171.28
4/6/2017,172.45,3435303,173.47,173.47,172.25
4/5/2017,172.88,6237613,174.7,176.33,172.81
4/4/2017,174.52,3108655,173.52,174.96,173.26
4/3/2017,174.5,4286497,173.82,174.87,173.38
3/31/2017,174.14,2913386,173.98,174.95,173.69
3/30/2017,173.86,3168198,173.86,174.59,173.69
3/29/2017,173.94,3083063,174.3,174.49,173.46
3/28/2017,174.51,3523345,173.94,175,173
3/27/2017,173.77,3259022,172.69,174.16,172.0937
3/24/2017,173.83,3221645,175.12,175.5,173.39
3/23/2017,174.82,3737732,174.43,175.67,173.56
3/22/2017,174.78,3448947,174.04,175.06,172.8
3/21/2017,173.88,3927626,176.01,176.23,173.84
3/20/2017,175.7,2475875,175.65,176.18,175.14
3/17/2017,175.65,5916099,176.29,176.79,175.65
3/16/2017,177.24,4311734,178.46,179,176.82
3/15/2017,175.81,3810410,175.71,176.28,174.75
3/14/2017,175.72,3147484,176.18,176.82,175.211
3/13/2017,176.46,3481898,177.85,178.06,176.415
3/10/2017,177.83,3100107,178.21,179.49,177.42
3/9/2017,177.18,5443665,179.15,179.25,175.88
3/8/2017,179.45,3557388,180.75,180.95,179.3
3/7/2017,180.38,2977496,180.71,181.29,180.1997
3/6/2017,180.47,3199175,179.72,180.99,179.57
3/3/2017,180.05,1824911,180.04,181.32,179.7649
3/2/2017,180.53,2915947,181.88,181.88,180.43
3/1/2017,181.95,3001512,180.48,182.55,180.03
2/28/2017,179.82,3273324,179.38,180.63,179.35
2/27/2017,179.4,3689926,181.19,181.25,179.28
2/24/2017,181.35,3298816,180.21,181.49,179.89
2/23/2017,181.65,2282522,182,182.5,180.92
2/22/2017,181.15,3020538,180.09,181.34,180.09
2/21/2017,180.26,4479596,180.6,180.79,179.12
2/17/2017,180.67,3551140,181.25,181.57,180
2/16/2017,181.43,3251022,181.45,182.79,180.87
2/15/2017,181.68,2914083,180.2,181.92,179.81
2/14/2017,180.13,2775296,178.57,180.13,178.35
